degree,duration,fitted,fraction,method,n_outcomes,name,ranking_error,uniform_noise,value_error_mean,value_error_std,white_noise
2,0.0007636360824108124,False,0.7777777777777777,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,,0.0,,,0.0
2,0.001042243093252182,True,0.7777777777777777,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7562848472681399,0.4098600833946188,0.0
2,0.0008825203403830528,False,0.7777777777777777,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,,0.0,,,0.0
3,0.0014198189601302147,True,0.7777777777777777,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.9157430252127714,0.12467793620615089,0.0
3,0.0014749104157090187,True,0.7777777777777777,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7543686868157046,0.413763965004397,0.0
3,0.0014046570286154747,True,0.7777777777777777,constraints,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5533042492903715,0.41374403512075614,0.0
2,0.0002680886536836624,True,0.7777777777777777,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.43665677692779326,0.25053414844127314,0.0
2,0.00025554001331329346,True,0.7777777777777777,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.8209399861715709,0.27586401925126824,0.0
2,0.00025419052690267563,True,0.7777777777777777,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.39292014170067185,0.19928663161813223,0.0
3,0.00032712891697883606,True,0.7777777777777777,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.49721202927561636,0.330448476835431,0.0
3,0.0002978835254907608,True,0.7777777777777777,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7651247070832026,0.3917728169487627,0.0
3,0.00028321240097284317,True,0.7777777777777777,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5855737336686566,0.28441582036347535,0.0
2,0.00028006918728351593,True,0.7777777777777777,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4515426135442079,0.2692149718756832,0.0
2,0.00025473441928625107,True,0.7777777777777777,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7888790776139023,0.34264705855031874,0.0
2,0.0002574073150753975,True,0.7777777777777777,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5381566167448278,0.3903718211823556,0.0
